year,host_city,host_country,country_code,country_name,sport,event,athlete_name,medal
1992,Barcelona,ESP,GBR,Great Britain,Handball,Handball team event,Ana Wang,Silver
1972,Munich,FRG,FRG,West Germany,Wrestling,Wrestling event,Lars Silva,Bronze
1980,Moscow,URS,GDR,East Germany,Swimming,Swimming event,Kenji Nielsen,Bronze
1980,Moscow,URS,KEN,Kenya,Cycling,Cycling event,Ivan Muller,Gold
2016,Rio,BRA,BRA,Brazil,Shooting,Shooting event,Maria Okafor,Gold
1996,Atlanta,USA,BRA,Brazil,Diving,Diving event,Kenji Zhang,Bronze
2008,Beijing,CHN,JPN,Japan,Basketball,Basketball team event,Sven Lopez,Gold
1976,Montreal,CAN,GBR,Great Britain,Judo,Judo event,Yuki Kovac,Silver
2016,Rio,BRA,CHN,China,Volleyball,Volleyball team event,Liu Andersson,Silver
1988,Seoul,KOR,ESP,Spain,Athletics,Athletics event,Alex Zhang,Silver
1996,Atlanta,USA,USA,United States,Rowing,Rowing team event,John Andersson,Silver
1972,Munich,FRG,ITA,Italy,Rowing,Rowing team event,Diego Wang,Bronze
1992,Barcelona,ESP,AUS,Australia,WaterPolo,WaterPolo team event,Marco Novak,Gold
2012,London,GBR,CHN,China,Rowing,Rowing team event,Ana Rossi,Silver
1980,Moscow,URS,URS,Soviet Union,Football,Football team event,Marco Petrov,Gold
2008,Beijing,CHN,FRA,France,Weightlifting,Weightlifting event,Pavel Ahmed,Gold
2012,London,GBR,AUS,Australia,Gymnastics,Gymnastics event,Anna Kovac,Bronze
1996,Atlanta,USA,GER,Germany,Basketball,Basketball team event,Diego Tanaka,Gold
1976,Montreal,CAN,KEN,Kenya,Gymnastics,Gymnastics event,Sofia Costa,Silver
2004,Athens,GRC,JPN,Japan,Football,Football team event,Maria Kim,Silver
2012,London,GBR,GBR,Great Britain,Athletics,Athletics event,Carlos Petrov,Bronze
1984,Los Angeles,USA,JPN,Japan,Volleyball,Volleyball team event,Sven Ahmed,Gold
1988,Seoul,KOR,ITA,Italy,Boxing,Boxing event,Kenji Smith,B
2008,Beijing,CHN,JPN,Japan,Cycling,Cycling event,Sven Andersson,Bronze
1976,Montreal,CAN,URS,Soviet Union,Basketball,Basketball team event,Carlos Andersson,Gold
2008,Beijing,CHN,RUS,Russia,WaterPolo,WaterPolo team event,Wei Kovac,Bronze
2004,Athens,GRC,CHN,China,Handball,Handball team event,Nadia Okafor,Silver 
2016,Rio,BRA,FRA,France,Swimming,Swimming event,Diego Smith,Silver
1960,Rome,ITA,GBR,Great Britain,Hockey,Hockey team event,Omar Tanaka,Gold
2004,Athens,GRC,FRA,France,Athletics,Athletics event,Wei Lopez,Gold
2008,Beijing,CHN,NOR,Norway,Weightlifting,Weightlifting event,Pavel Nielsen,Silver
2012,London,GBR,ESP,Spain,Relays,Relays team event,Ivan Park,Bronze
2016,Rio,BRA,USA,United States,Athletics,Athletics event,Nadia Novak,Gold
1964,Tokyo,JPN,FRA,France,Gymnastics,Gymnastics event,John Zhang,Gold
1988,Seoul,KOR,TCH,Czechoslovakia,Gymnastics,Gymnastics event,Sven Andersson,Bronze
2000,Sydney,AUS,NOR,Norway,Swimming,Swimming event,Anna Novak,Bronze
2008,Beijing,CHN,GRC,Greece,Wrestling,Wrestling event,Alex Smith,Silver
2012,London,GBR,USA,United States,Relays,Relays team event,Marco Wang,Gold
1964,Tokyo,JPN,CHN,China,Basketball,Basketball team event,Sven Petrov,Gold
1964,Tokyo,JPN,USA,United States,WaterPolo,WaterPolo team event,Carlos Smith,Gold
1988,Seoul,KOR,CAN,Canada,Swimming,Swimming event,Kenji Tanaka,Bronze
1984,Los Angeles,USA,USA,United States,Rowing,Rowing team event,Anna Zhang,Bronze
2004,Athens,GRC,GER,Germany,Hockey,Hockey team event,Sven Silva,Bronze
2012,London,GBR,CHN,China,Football,Football team event,Carlos Silva,Bronze
1984,Los Angeles,USA,USA,United States,WaterPolo,WaterPolo team event,Marco Ahmed,Bronze
1976,Montreal,CAN,TCH,Czechoslovakia,Handball,Handball team event,Anna Novak,Gold
2012,London,GBR,ITA,Italy,Boxing,Boxing event,Liu Park,Bronze
1980,Moscow,URS,CHN,China,Football,Football team event,Kenji Nielsen,Bronze
1980,Moscow,URS,CHN,China,WaterPolo,WaterPolo team event,Carlos Zhang,Silver
2012,London,GBR,CHN,China,Shooting,Shooting event,Yuki Smith,Gold
2016,Rio,BRA,NED,Netherlands,Gymnastics,Gymnastics event,Kenji Muller,Bronze
2012,London,GBR,KOR,South Korea,WaterPolo,WaterPolo team event,Carlos Muller,Gold
2000,Sydney,AUS,USA,United States,Handball,Handball team event,Liu Smith,Gold
2016,Rio,BRA,GER,Germany,Judo,Judo event,Ivan Zhang,Silver
1996,Atlanta,USA,USA,United States,Relays,Relays team event,Lars Costa,Bronze
1996,Atlanta,USA,CRO,Croatia,Cycling,Cycling event,Maria Silva,Gold
1996,Atlanta,USA,CAN,Canada,Cycling,Cycling event,Wei Andersson,Bronze
2016,Rio,BRA,RUS,Russia,Basketball,Basketball team event,Alex Costa,Gold
1980,Moscow,URS,CHN,China,Volleyball,Volleyball team event,Ivan Petrov,Bronze
2008,Beijing,CHN,USA,United States,Volleyball,Volleyball team event,Omar Kovac,B
2008,Beijing,CHN,USA,United States,Judo,Judo event,Wei Andersson,Silver
1984,Los Angeles,USA,JPN,Japan,Swimming,Swimming event,Wei Silva,Silver
1988,Seoul,KOR,NED,Netherlands,Relays,Relays team event,Ana Muller,Gold
1968,Mexico City,MEX,CHN,China,Volleyball,Volleyball team event,John Kovac,1st
1992,Barcelona,ESP,NED,Netherlands,Relays,Relays team event,Pavel Petrov,Silver
2016,Rio,BRA,CZE,Czech Republic,Rowing,Rowing team event,Anna Rossi,Silver
2008,Beijing,CHN,GER,Germany,WaterPolo,WaterPolo team event,Kenji Silva,Silver
2004,Athens,GRC,USA,United States,Football,Football team event,Anna Petrov,Bronze
1988,Seoul,KOR,USA,United States,Rowing,Rowing team event,Nadia Rossi,Gold
1988,Seoul,KOR,CHN,China,Handball,Handball team event,Alex Silva,Gold
1984,Los Angeles,USA,ITA,Italy,Volleyball,Volleyball team event,Nadia Smith,Gold
2016,Rio,BRA,GBR,Great Britain,Athletics,Athletics event,Nadia Park,Silver
2008,Beijing,CHN,AUS,Australia,Diving,Diving event,Sven Zhang,Gold
2012,London,GBR,RUS,Russia,Hockey,Hockey team event,John Andersson,Silver
1988,Seoul,KOR,BRA,Brazil,Handball,Handball team event,Sofia Zhang,Silver
2008,Beijing,CHN,JPN,Japan,Basketball,Basketball team event,Carlos Novak,Gold
2012,London,GBR,GBR,Great Britain,Handball,Handball team event,Elena Tanaka,Silver
1992,Barcelona,ESP,GER,Germany,WaterPolo,WaterPolo team event,Carlos Zhang,Bronze
2008,Beijing,CHN,RUS,Russia,Handball,Handball team event,Marco Nielsen,Gold
1972,Munich,FRG,BRA,Brazil,Diving,Diving event,Marco Lopez,Gold
1976,Montreal,CAN,JAM,Jamaica,Handball,Handball team event,Liu Rossi,Bronze
1964,Tokyo,JPN,CAN,Canada,Handball,Handball team event,John Kim,Bronze
1968,Mexico City,MEX,CHN,China,Relays,Relays team event,Sofia Okafor,Gold
1992,Barcelona,ESP,CHN,China,Relays,Relays team event,Nadia Lopez,Gold
2016,Rio,BRA,ESP,Spain,Diving,Diving event,Alex Costa,Bronze
1996,Atlanta,USA,USA,United States,Volleyball,Volleyball team event,Maria Silva,Silver
2008,Beijing,CHN,SRB,Serbia,Basketball,Basketball team event,Yuki Petrov,Silver
2012,London,GBR,RUS,Russia,Football,Football team event,Carlos Lopez,Gold
1960,Rome,ITA,AUS,Australia,Athletics,Athletics event,Liu Smith,Silver
1980,Moscow,URS,HUN,Hungary,Athletics,Athletics event,Carlos Silva,Gold
2012,London,GBR,GRC,Greece,Volleyball,Volleyball team event,Diego Nielsen,Bronze
1964,Tokyo,JPN,JPN,Japan,Shooting,Shooting event,Ivan Tanaka,Bronze
1972,Munich,FRG,FRG,West Germany,Rowing,Rowing team event,Marco Novak,Silver
2004,Athens,GRC,USA,United States,Hockey,Hockey team event,Elena Ahmed,Silver
2012,London,GBR,NOR,Norway,Fencing,Fencing event,Wei Nielsen,gold
2008,Beijing,CHN,HUN,Hungary,Basketball,Basketball team event,Nadia Ahmed,Bronze
2008,Beijing,CHN,CHN,China,Relays,Relays team event,Pavel Silva,Bronze
1992,Barcelona,ESP,NED,Netherlands,Shooting,Shooting event,Elena Rossi,Silver
2012,London,GBR,GBR,Great Britain,Volleyball,Volleyball team event,Ivan Rossi,Bronze
2000,Sydney,AUS,CUB,Cuba,Basketball,Basketball team event,Maria Ahmed,Gold
1980,Moscow,URS,YUG,Yugoslavia,Basketball,Basketball team event,Pavel Wang,Bronze
2004,Athens,GRC,CHN,China,Football,Football team event,Ana Smith,Gold
1988,Seoul,KOR,URS,Soviet Union,Swimming,Swimming event,Ana Smith,Silver
1988,Seoul,KOR,ITA,Italy,Basketball,Basketball team event,Sofia Okafor,Gold
2000,Sydney,AUS,CUB,Cuba,Basketball,Basketball team event,Pavel Zhang,Gold
1972,Munich,FRG,URS,Soviet Union,WaterPolo,WaterPolo team event,Marco Novak,Gold
1976,Montreal,CAN,URS,Soviet Union,Rowing,Rowing team event,John Nielsen,Bronze
2000,Sydney,AUS,AUS,Australia,Cycling,Cycling event,Wei Ahmed,Bronze
1996,Atlanta,USA,MEX,Mexico,Weightlifting,Weightlifting event,Elena Muller,Gold
1988,Seoul,KOR,KOR,South Korea,Relays,Relays team event,Liu Petrov,Gold
1960,Rome,ITA,FRA,France,Wrestling,Wrestling event,Yuki Muller,Silver
1992,Barcelona,ESP,GBR,Great Britain,Hockey,Hockey team event,Elena Wang,Silver
2016,Rio,BRA,USA,United States,Athletics,Athletics event,Omar Lopez,Bronze
1960,Rome,ITA,GDR,East Germany,Football,Football team event,Alex Silva,Bronze
1992,Barcelona,ESP,GBR,Great Britain,Athletics,Athletics event,Carlos Muller,Bronze
1964,Tokyo,JPN,GRC,Greece,Shooting,Shooting event,Maria Smith,Gold
2012,London,GBR,NED,Netherlands,Football,Football team event,Pavel Novak,Silver
1984,Los Angeles,USA,FRG,West Germany,Hockey,Hockey team event,Anna Nielsen,Gold
1968,Mexico City,MEX,NOR,Norway,Athletics,Athletics event,Maria Novak,Bronze
1960,Rome,ITA,YUG,Yugoslavia,Basketball,Basketball team event,Wei Kovac,Bronze
1992,Barcelona,ESP,AUS,Australia,Swimming,Swimming event,Elena Wang,Bronze
1980,Moscow,URS,URS,Soviet Union,Athletics,Athletics event,Wei Petrov,Silver
1996,Atlanta,USA,CAN,Canada,Football,Football team event,Alex Ahmed,Bronze
1988,Seoul,KOR,ESP,Spain,Rowing,Rowing team event,Lars Okafor,Gold
1976,Montreal,CAN,FRG,West Germany,Basketball,Basketball team event,Ana Andersson,Bronze
1980,Moscow,URS,URS,Soviet Union,Wrestling,Wrestling event,Wei Wang,Gold
2008,Beijing,CHN,JAM,Jamaica,Football,Football team event,Pavel Tanaka,Bronze
1996,Atlanta,USA,CUB,Cuba,Football,Football team event,Sofia Wang,Bronze
1968,Mexico City,MEX,GBR,Great Britain,Basketball,Basketball team event,Ana Wang,Silver
1972,Munich,FRG,USA,United States,Athletics,Athletics event,Liu Silva,Gold
1976,Montreal,CAN,USA,United States,Rowing,Rowing team event,Elena Wang,Gold
2012,London,GBR,GBR,Great Britain,Weightlifting,Weightlifting event,Anna Silva,Gold
1964,Tokyo,JPN,CHN,China,Swimming,Swimming event,Elena Nielsen,Bronze
2004,Athens,GRC,CHN,China,Volleyball,Volleyball team event,Lars Wang,Gold
2012,London,GBR,CZE,Czech Republic,Cycling,Cycling event,Nadia Kovac,Bronze
2016,Rio,BRA,HUN,Hungary,Hockey,Hockey team event,Liu Novak,Gold
2004,Athens,GRC,CHN,China,Handball,Handball team event,Marco Kim,Gold
2012,London,GBR,CHN,China,Athletics,Athletics event,John Zhang,Gold
1976,Montreal,CAN,TCH,Czechoslovakia,Handball,Handball team event,Kenji Novak,Gold
2008,Beijing,CHN,FRA,France,Athletics,Athletics event,Carlos Rossi,Bronze
1960,Rome,ITA,CHN,China,Swimming,Swimming event,Liu Kovac,Bronze
2012,London,GBR,RUS,Russia,Weightlifting,Weightlifting event,John Novak,Bronze
2004,Athens,GRC,ESP,Spain,Basketball,Basketball team event,Sven Kovac,Silver
1968,Mexico City,MEX,NOR,Norway,Judo,Judo event,Ivan Silva,Silver
1976,Montreal,CAN,CHN,China,Hockey,Hockey team event,Wei Silva,Gold
2004,Athens,GRC,FRA,France,Gymnastics,Gymnastics event,Liu Rossi,Gold
1992,Barcelona,ESP,RUS,Russia,Handball,Handball team event,Liu Park,Bronze
1960,Rome,ITA,AUS,Australia,Swimming,Swimming event,Kenji Ahmed,Gold
1976,Montreal,CAN,GDR,East Germany,Handball,Handball team event,Sofia Wang,Silver
1972,Munich,FRG,GBR,Great Britain,Gymnastics,Gymnastics event,Alex Novak,Bronze
2016,Rio,BRA,GER,Germany,Swimming,Swimming event,Diego Kovac,Bronze
1980,Moscow,URS,URS,Soviet Union,Athletics,Athletics event,Maria Okafor,Silver
2000,Sydney,AUS,SVK,Slovakia,Handball,Handball team event,Sven Silva,Silver
1980,Moscow,URS,URS,Soviet Union,Hockey,Hockey team event,Anna Smith,Bronze
2016,Rio,BRA,GER,Germany,Handball,Handball team event,Nadia Petrov,Gold
2000,Sydney,AUS,CUB,Cuba,Athletics,Athletics event,Marco Nielsen,Gold
1992,Barcelona,ESP,FRA,France,Basketball,Basketball team event,Yuki Costa,Gold
1992,Barcelona,ESP,CAN,Canada,Volleyball,Volleyball team event,Lars Petrov,Silver
1980,Moscow,URS,URS,Soviet Union,WaterPolo,WaterPolo team event,Sven Lopez,Bronze
1992,Barcelona,ESP,CUB,Cuba,Athletics,Athletics event,John Okafor,Bronze
1980,Moscow,URS,YUG,Yugoslavia,Basketball,Basketball team event,Sofia Costa,Bronze
2008,Beijing,CHN,JPN,Japan,Cycling,Cycling event,Marco Okafor,Gold
1992,Barcelona,ESP,ESP,Spain,Hockey,Hockey team event,Lars Andersson,Bronze
1996,Atlanta,USA,GER,Germany,Basketball,Basketball team event,Diego Nielsen,Gold
1984,Los Angeles,USA,ITA,Italy,Boxing,Boxing event,Pavel Novak,Silver
2000,Sydney,AUS,CZE,Czech Republic,Swimming,Swimming event,Liu Lopez,Gold
1960,Rome,ITA,KOR,South Korea,Athletics,Athletics event,Elena Wang,Bronze
2012,London,GBR,NED,Netherlands,Volleyball,Volleyball team event,Maria Kovac,Gold
2008,Beijing,CHN,CHN,China,Boxing,Boxing event,John Nielsen,Gold
1960,Rome,ITA,ITA,Italy,Shooting,Shooting event,Sofia Zhang,Bronze
1972,Munich,FRG,USA,United States,Hockey,Hockey team event,Omar Park,Gold
2012,London,GBR,USA,United States,Athletics,Athletics event,Elena Muller,Bronze
1960,Rome,ITA,CHN,China,Wrestling,Wrestling event,Pavel Silva,Bronze
1964,Tokyo,JPN,CUB,Cuba,Hockey,Hockey team event,Ana Rossi,Bronze
2004,Athens,GRC,GBR,Great Britain,WaterPolo,WaterPolo team event,Elena Costa,Gold
1996,Atlanta,USA,GBR,Great Britain,Wrestling,Wrestling event,Omar Zhang,Silver
2016,Rio,BRA,ESP,Spain,Basketball,Basketball team event,Ivan Silva,Silver
1984,Los Angeles,USA,JPN,Japan,Basketball,Basketball team event,Lars Kim,Gold
1972,Munich,FRG,AUS,Australia,Basketball,Basketball team event,Ivan Costa,Gold
1960,Rome,ITA,CHN,China,Volleyball,Volleyball team event,Alex Costa,Gold
1976,Montreal,CAN,USA,United States,Hockey,Hockey team event,Ana Nielsen,Gold
2016,Rio,BRA,GER,Germany,Cycling,Cycling event,Anna Lopez,Gold
2016,Rio,BRA,ESP,Spain,Handball,Handball team event,Alex Costa,Silver
1992,Barcelona,ESP,NED,Netherlands,Fencing,Fencing event,Carlos Novak,Gold
2004,Athens,GRC,USA,United States,Rowing,Rowing team event,Marco Kovac,Bronze
1968,Mexico City,MEX,NED,Netherlands,WaterPolo,WaterPolo team event,Yuki Park,Silver
1976,Montreal,CAN,URS,Soviet Union,Basketball,Basketball team event,Omar Ahmed,Gold
1980,Moscow,URS,KEN,Kenya,Shooting,Shooting event,Kenji Silva,Bronze
1992,Barcelona,ESP,USA,United States,Handball,Handball team event,Maria Kovac,Silver
1980,Moscow,URS,BRA,Brazil,Volleyball,Volleyball team event,Wei Kovac,Gold
1984,Los Angeles,USA,USA,United States,Athletics,Athletics event,Anna Wang,Gold
1984,Los Angeles,USA,FRA,France,Basketball,Basketball team event,Yuki Smith,Silver
1964,Tokyo,JPN,BRA,Brazil,Volleyball,Volleyball team event,Liu Zhang,Gold
2016,Rio,BRA,MEX,Mexico,Athletics,Athletics event,Anna Tanaka,Gold
2016,Rio,BRA,USA,United States,Athletics,Athletics event,Marco Ahmed,Bronze
1964,Tokyo,JPN,JAM,Jamaica,Judo,Judo event,Sofia Petrov,Gold
2012,London,GBR,USA,United States,Basketball,Basketball team event,Anna Wang,Silver
1960,Rome,ITA,ESP,Spain,Fencing,Fencing event,Omar Wang,Gold
1996,Atlanta,USA,AUS,Australia,Swimming,Swimming event,Omar Petrov,Gold
2000,Sydney,AUS,CRO,Croatia,Athletics,Athletics event,Lars Kovac,Gold
2012,London,GBR,AUS,Australia,Volleyball,Volleyball team event,Sven Lopez,Gold
1964,Tokyo,JPN,HUN,Hungary,Athletics,Athletics event,Marco Novak,Silver
1972,Munich,FRG,BRA,Brazil,Cycling,Cycling event,Kenji Kovac,Silver
1972,Munich,FRG,KOR,South Korea,Fencing,Fencing event,Ana Park,Gold
1980,Moscow,URS,KEN,Kenya,Weightlifting,Weightlifting event,Sofia Petrov,Gold
2000,Sydney,AUS,USA,United States,Handball,Handball team event,Yuki Zhang,Gold
2000,Sydney,AUS,ITA,Italy,Athletics,Athletics event,Omar Kovac,Silver
2016,Rio,BRA,GBR,Great Britain,Rowing,Rowing team event,Pavel Park,Silver
2016,Rio,BRA,BRA,Brazil,Hockey,Hockey team event,Sofia Rossi,Gold
1960,Rome,ITA,HUN,Hungary,Hockey,Hockey team event,Elena Costa,Bronze
2004,Athens,GRC,USA,United States,Football,Football team event,Lars Petrov,Gold
1972,Munich,FRG,FRA,France,Judo,Judo event,Alex Tanaka,Silver
2016,Rio,BRA,CAN,Canada,Handball,Handball team event,Maria Novak,Bronze
2008,Beijing,CHN,CHN,China,Handball,Handball team event,Sven Kim,Bronze
2004,Athens,GRC,FRA,France,Hockey,Hockey team event,Omar Ahmed,Silver
1972,Munich,FRG,AUS,Australia,Judo,Judo event,Alex Petrov,Silver
1968,Mexico City,MEX,NED,Netherlands,Rowing,Rowing team event,Nadia Okafor,Silver
2012,London,GBR,RUS,Russia,Weightlifting,Weightlifting event,Yuki Wang,Gold
2008,Beijing,CHN,USA,United States,Volleyball,Volleyball team event,Sofia Lopez,Silver
1992,Barcelona,ESP,YUG,Yugoslavia,Gymnastics,Gymnastics event,Carlos Andersson,Silver
2004,Athens,GRC,ITA,Italy,Judo,Judo event,John Rossi,Bronze
1996,Atlanta,USA,NED,Netherlands,Volleyball,Volleyball team event,Alex Petrov,Gold
2016,Rio,BRA,CHN,China,Handball,Handball team event,John Ahmed,Bronze
1984,Los Angeles,USA,KOR,South Korea,Relays,Relays team event,Omar Smith,Bronze
1984,Los Angeles,USA,USA,United States,Judo,Judo event,Anna Kovac,Bronze
1996,Atlanta,USA,CAN,Canada,Basketball,Basketball team event,Ivan Rossi,Silver
1980,Moscow,URS,BRA,Brazil,Volleyball,Volleyball team event,Maria Novak,Bronze
1960,Rome,ITA,CAN,Canada,Diving,Diving event,Elena Smith,Silver
1988,Seoul,KOR,GDR,East Germany,WaterPolo,WaterPolo team event,Diego Muller,Gold
1968,Mexico City,MEX,AUS,Australia,Diving,Diving event,Nadia Nielsen,Gold
1972,Munich,FRG,BRA,Brazil,WaterPolo,WaterPolo team event,John Smith,2nd
1992,Barcelona,ESP,JAM,Jamaica,Cycling,Cycling event,Carlos Kovac,Gold
1960,Rome,ITA,KOR,South Korea,Tennis,Tennis event,Liu Costa,Silver
2008,Beijing,CHN,USA,United States,WaterPolo,WaterPolo team event,Maria Zhang,1st
2016,Rio,BRA,USA,United States,Rowing,Rowing team event,Diego Lopez,Bronze
2008,Beijing,CHN,CHN,China,Hockey,Hockey team event,Sven Lopez,Bronze
2016,Rio,BRA,CAN,Canada,Weightlifting,Weightlifting event,Omar Rossi,Gold
1972,Munich,FRG,CAN,Canada,Basketball,Basketball team event,Anna Muller,Bronze
1988,Seoul,KOR,CUB,Cuba,Hockey,Hockey team event,Marco Ahmed,Bronze
2012,London,GBR,GER,Germany,Swimming,Swimming event,Liu Wang,Silver
1992,Barcelona,ESP,ESP,Spain,Hockey,Hockey team event,Marco Nielsen,Gold
2008,Beijing,CHN,CAN,Canada,Football,Football team event,Pavel Tanaka,Silver
2012,London,GBR,GER,Germany,Hockey,Hockey team event,Wei Silva,Bronze
1964,Tokyo,JPN,USA,United States,Fencing,Fencing event,Kenji Costa,Bronze
2012,London,GBR,ESP,Spain,Rowing,Rowing team event,Lars Silva,Bronze
2008,Beijing,CHN,GER,Germany,WaterPolo,WaterPolo team event,Alex Park,Silver
1996,Atlanta,USA,NED,Netherlands,Weightlifting,Weightlifting event,Ana Zhang,Silver
1964,Tokyo,JPN,URS,Soviet Union,Boxing,Boxing event,Omar Novak,B
1972,Munich,FRG,FRG,West Germany,Cycling,Cycling event,Ana Andersson,Bronze
2008,Beijing,CHN,USA,United States,Handball,Handball team event,Yuki Kovac,Bronze
2008,Beijing,CHN,USA,United States,Relays,Relays team event,Pavel Ahmed,Gold
1992,Barcelona,ESP,TCH,Czechoslovakia,Gymnastics,Gymnastics event,Lars Lopez,Gold
1964,Tokyo,JPN,GBR,Great Britain,Basketball,Basketball team event,John Rossi,Bronze
1972,Munich,FRG,CHN,China,Judo,Judo event,John Okafor,Silver
1992,Barcelona,ESP,AUS,Australia,Relays,Relays team event,Omar Lopez,Silver
1960,Rome,ITA,FRG,West Germany,Relays,Relays team event,Anna Park,Silver
2000,Sydney,AUS,CHN,China,Hockey,Hockey team event,Elena Novak,Bronze
1980,Moscow,URS,CHN,China,Judo,Judo event,Sven Andersson,Bronze
1988,Seoul,KOR,FRG,West Germany,Handball,Handball team event,Anna Nielsen,Bronze
1988,Seoul,KOR,HUN,Hungary,Basketball,Basketball team event,Maria Rossi,Gold
2016,Rio,BRA,AUS,Australia,Gymnastics,Gymnastics event,Wei Muller,Silver
1972,Munich,FRG,GBR,Great Britain,Boxing,Boxing event,John Novak,Gold
1968,Mexico City,MEX,AUS,Australia,WaterPolo,WaterPolo team event,Carlos Park,Gold
2000,Sydney,AUS,CHN,China,Relays,Relays team event,Ana Kim,Silver
1976,Montreal,CAN,USA,United States,Relays,Relays team event,Liu Zhang,Silver
1976,Montreal,CAN,USA,United States,Gymnastics,Gymnastics event,Maria Ahmed,Bronze
1992,Barcelona,ESP,GER,Germany,Handball,Handball team event,John Petrov,Gold
2016,Rio,BRA,ITA,Italy,Handball,Handball team event,Marco Kim,Silver
1972,Munich,FRG,ESP,Spain,Handball,Handball team event,Lars Costa,Gold
1984,Los Angeles,USA,ITA,Italy,Football,Football team event,Wei Park,Gold
1960,Rome,ITA,YUG,Yugoslavia,Athletics,Athletics event,Pavel Novak,Gold
2008,Beijing,CHN,USA,United States,Athletics,Athletics event,Elena Nielsen,Silver
1980,Moscow,URS,URS,Soviet Union,Rowing,Rowing team event,Wei Rossi,Silver
2004,Athens,GRC,ESP,Spain,Athletics,Athletics event,Anna Silva,Silver
2012,London,GBR,CUB,Cuba,Volleyball,Volleyball team event,Carlos Costa,Silver
1996,Atlanta,USA,USA,United States,Gymnastics,Gymnastics event,Sofia Smith,Silver
1976,Montreal,CAN,YUG,Yugoslavia,Cycling,Cycling event,Diego Kovac,G
1988,Seoul,KOR,USA,United States,Wrestling,Wrestling event,Ivan Wang,Silver
2016,Rio,BRA,BRA,Brazil,WaterPolo,WaterPolo team event,John Tanaka,Silver
1980,Moscow,URS,YUG,Yugoslavia,Football,Football team event,Marco Costa,3rd
1968,Mexico City,MEX,TCH,Czechoslovakia,Hockey,Hockey team event,Pavel Rossi,Bronze
1976,Montreal,CAN,ITA,Italy,Handball,Handball team event,Kenji Nielsen,Bronze
1984,Los Angeles,USA,USA,United States,Volleyball,Volleyball team event,Elena Rossi,Silver
1972,Munich,FRG,AUS,Australia,Gymnastics,Gymnastics event,Kenji Smith,Silver
2012,London,GBR,RUS,Russia,Hockey,Hockey team event,Kenji Wang,Silver
1960,Rome,ITA,BRA,Brazil,Relays,Relays team event,Anna Kovac,Bronze
2012,London,GBR,FRA,France,Volleyball,Volleyball team event,Alex Park,bronze
2016,Rio,BRA,CAN,Canada,Handball,Handball team event,John Smith,Silver
1968,Mexico City,MEX,NED,Netherlands,Rowing,Rowing team event,Ivan Kim,Silver
1992,Barcelona,ESP,AUS,Australia,Hockey,Hockey team event,Nadia Zhang,Silver
1980,Moscow,URS,GDR,East Germany,Cycling,Cycling event,Ana Muller,Gold
1992,Barcelona,ESP,HUN,Hungary,Volleyball,Volleyball team event,Anna Kovac,Gold
2008,Beijing,CHN,USA,United States,Swimming,Swimming event,Ivan Silva,Silver
2012,London,GBR,GRC,Greece,Handball,Handball team event,Anna Lopez,Bronze
1968,Mexico City,MEX,USA,United States,Football,Football team event,John Zhang,Silver
1964,Tokyo,JPN,FRA,France,Hockey,Hockey team event,Carlos Zhang,Silver
2008,Beijing,CHN,ITA,Italy,WaterPolo,WaterPolo team event,Wei Petrov,Bronze
2012,London,GBR,ESP,Spain,Athletics,Athletics event,Ivan Nielsen,Bronze
2000,Sydney,AUS,CHN,China,Swimming,Swimming event,Nadia Andersson,Gold
1964,Tokyo,JPN,USA,United States,Football,Football team event,Maria Wang,Silver
1988,Seoul,KOR,FRG,West Germany,Cycling,Cycling event,Liu Novak,Silver
1968,Mexico City,MEX,FRA,France,Swimming,Swimming event,Liu Wang,Bronze
1984,Los Angeles,USA,USA,United States,Cycling,Cycling event,John Wang,Gold
1992,Barcelona,ESP,KOR,South Korea,Handball,Handball team event,Elena Petrov,Gold
2004,Athens,GRC,SVK,Slovakia,Football,Football team event,Sofia Andersson,Silver
1960,Rome,ITA,NOR,Norway,Athletics,Athletics event,Ana Andersson,Bronze
1988,Seoul,KOR,BRA,Brazil,Athletics,Athletics event,Lars Tanaka,Gold
1988,Seoul,KOR,FRG,West Germany,Football,Football team event,Lars Petrov,Silver
2012,London,GBR,ITA,Italy,WaterPolo,WaterPolo team event,Ana Park,Gold
1992,Barcelona,ESP,ESP,Spain,Hockey,Hockey team event,Ana Park,Gold
1960,Rome,ITA,AUS,Australia,Boxing,Boxing event,Lars Zhang,Gold
2000,Sydney,AUS,CAN,Canada,Rowing,Rowing team event,Kenji Costa,Silver
1984,Los Angeles,USA,USA,United States,Handball,Handball team event,Nadia Petrov,Bronze
2012,London,GBR,BRA,Brazil,Basketball,Basketball team event,Kenji Smith,Gold
2012,London,GBR,AUS,Australia,Athletics,Athletics event,Diego Costa,Gold
1980,Moscow,URS,BRA,Brazil,Volleyball,Volleyball team event,Liu Muller,Gold
1984,Los Angeles,USA,CHN,China,Cycling,Cycling event,Lars Tanaka,Silver
2000,Sydney,AUS,ITA,Italy,WaterPolo,WaterPolo team event,Sofia Park,Gold
2008,Beijing,CHN,USA,United States,Handball,Handball team event,Diego Novak,Bronze
1964,Tokyo,JPN,CAN,Canada,Basketball,Basketball team event,Sven Nielsen,Bronze
1988,Seoul,KOR,CUB,Cuba,WaterPolo,WaterPolo team event,Yuki Tanaka,Silver
